bank,rating,review,date,source
Dashen,5,Best,2024-11-06,Google Play
CBE,5,Up date ስለው አይከፍትም,2022-06-20,Google Play
BOA,1,ከዚህ ትልቅ ባንክ የማይጠበቅ ድንዝዝዝዝ ያለ App.... ዛግግግ ነው ያረገኝ 😡😡😡,2024-06-20,Google Play
BOA,1,ግሞች ደህና የነበረውን አግማሙት ኤጭ,2024-02-18,Google Play
CBE,5,"I am happy for using CBE. How ever, i am happy we can not send money to other tele birr by this app. why???",2025-01-24,Google Play
BOA,5,Good,2024-08-13,Google Play
Dashen,5,Its good,2024-02-02,Google Play
CBE,4,i am tesfalegn,2024-06-29,Google Play
CBE,3,Zenzelima,2023-11-11,Google Play
CBE,5,fast and simple easy to use 👌,2025-05-12,Google Play
CBE,3,We need update How to updated the app,2023-03-23,Google Play
CBE,5,Best,2022-04-07,Google Play
CBE,4,Verification key not sending,2021-05-15,Google Play
CBE,5,It is amazing app but it is more better if it is possible to transfer from account to other telebirr,2025-09-22,Google Play
CBE,5,simple&fast!!!,2025-03-30,Google Play
CBE,5,Great,2023-11-26,Google Play
BOA,5,Good job,2024-08-07,Google Play
CBE,5,"Love it, keep up my country",2021-11-05,Google Play
CBE,5,Which is very important!,2024-10-10,Google Play
CBE,2,bast mobile banking in Ethiopia,2024-10-20,Google Play
BOA,2,Not good,2024-02-05,Google Play
CBE,5,It is fast and secure.,2024-01-12,Google Play
CBE,5,Nice application but not work properly on iphone,2024-05-02,Google Play
CBE,5,Good app,2021-09-29,Google Play
Dashen,5,The best one of the internet banking apps I've come across in Ethiopia. Only thing I would like to see added is the ability to get a receipt after the payment has been payed or transferred. Since it only gives a receipt right at the moment of payment and after that there is no way to get a receipt.,2023-11-08,Google Play
CBE,5,Very interesting app in digital economy,2023-01-18,Google Play
BOA,5,"Its amazing and easy to use , but from these two past days it crashes and tells me ""there is not enough connectivity"" while my internet was good enough , and i can't open it anymore !! Fix this proplem ASAP.",2024-03-02,Google Play
BOA,5,The new app is very good,2024-07-13,Google Play
BOA,1,It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,2024-12-10,Google Play
CBE,1,"After updating the latest version, the app is no longer able to synchronize. Urgent fixation needed.",2024-02-11,Google Play
CBE,3,Good,2024-04-30,Google Play
CBE,5,Satisfactory,2022-11-02,Google Play
CBE,5,I like this app,2024-07-24,Google Play
CBE,5,Good,2024-02-18,Google Play
CBE,5,Nice,2025-06-12,Google Play
CBE,5,Not work some tumes,2025-02-21,Google Play
CBE,5,Very good App,2024-02-13,Google Play
CBE,4,"It's good app, couse of shawing the debit & credit amount on time it's sometimes late if not I could have given it 5 star.",2022-07-25,Google Play
CBE,4,Nice &simple app,2024-10-18,Google Play
CBE,4,Very convenient and easy to use,2024-09-03,Google Play
CBE,5,Good,2024-12-29,Google Play
Dashen,5,Nice app,2023-01-10,Google Play
CBE,4,So gooood!! Keep Going,2021-07-06,Google Play
CBE,5,Good,2024-09-25,Google Play
CBE,5,So cool app,2024-12-15,Google Play
CBE,5,"That is good, it would be even better if we can access account satement at a point in time.",2020-07-25,Google Play
BOA,3,I used to access my Apollo account through the app before the update but now i can't access my Apollo account through this app and for me this is a step taken backwards!!!!!,2024-02-22,Google Play
CBE,5,all of you have to go to the bank and fill in forms and get a pin,2014-11-29,Google Play
CBE,5,Good,2023-10-19,Google Play
CBE,4,Nice app !!but not tomuch,2024-06-24,Google Play
CBE,4,Wow good work 🤝,2023-12-13,Google Play
CBE,5,Good,2025-02-01,Google Play
CBE,4,Very good 👍,2024-03-30,Google Play
CBE,5,Good,2023-12-17,Google Play
CBE,5,It's best👍. But it stops while changing simcard.,2024-02-06,Google Play
CBE,5,Thise is helpfull and have good and easy for mobile money usage in ethiopia,2025-03-22,Google Play
CBE,5,Please protect my security and protect my rewards because some body tries hack me!!,2024-07-20,Google Play
CBE,5,Nice,2021-09-16,Google Play
CBE,4,"I love this app. really, but with some downsides too. Screenshot is mandatory after every transaction as to me, I need screenshots not downloaded recipient. It would be even better if transaction history is available via this app for months that we can access directly or via calender ways. Thanks.",2025-08-22,Google Play
Dashen,4,Ok,2024-12-18,Google Play
BOA,1,"This app crashes everytime, please fix it",2024-11-12,Google Play
CBE,5,Nice,2022-07-07,Google Play
CBE,5,Nsiro,2024-11-20,Google Play
CBE,5,My application was blocked what is the reason?!,2021-03-07,Google Play
CBE,5,😲,2025-06-21,Google Play
CBE,5,"It is a shame not to appreciate the recent system improvements that the Commercial Bank of Ethiopia has been making, and I have no doubt that it will be different from this, InshaAllah. Another thing I would like to comment on is that the current method for transferring money to Telebir can own be sent to the person. So, it is possible to send money directly from the Commercial Bank to other banks. If you make it possible to transfer money directly to anyone, I would be very grateful.thank you",2025-02-06,Google Play
CBE,5,Very good and developed by our customers,2023-10-20,Google Play
CBE,3,Improvements needed on areas: 1- to enable creating multiple accounts within the same CBE app 2- to have an access to multiple accounts with one ID number 3- maximise transaction pages for better references 4- increase security options from sms to email address,2023-11-01,Google Play
CBE,5,V.good,2020-06-26,Google Play
CBE,2,"it is very cool app ti me, but unfinished description and guide yet! .",2014-03-03,Google Play
CBE,1,I like all service,2024-07-10,Google Play
CBE,5,Good service for me because it saves my time. There's no need to go to the brunch to transfer the money my bank is going to anywhere with so I can do anything on my mobile banking.thanks for your service.,2024-12-13,Google Play
CBE,5,Good,2024-05-18,Google Play
CBE,5,I love the upgrade but what happened to the details of the transactions made?????,2020-10-21,Google Play
CBE,5,I had very comfortable to used this app. The best app at all !!!,2021-01-05,Google Play
CBE,5,ለአጠቃቀም ቀላል የሆነ አሪፍ አፕ ነዉ።,2024-08-06,Google Play
CBE,5,Excellent and convenient service...Kudos CBE,2022-12-08,Google Play
CBE,5,Wonderful app,2020-08-19,Google Play
CBE,5,very nice one,2025-03-26,Google Play
CBE,5,Why it delay?,2020-08-21,Google Play
CBE,5,👌,2024-07-22,Google Play
CBE,5,It is better app,2025-03-01,Google Play
CBE,5,Best Mobile Banking app ever,2025-06-04,Google Play
CBE,1,the worst Mobile banking i have ever seen in my life,2025-04-26,Google Play
CBE,5,Good,2016-06-09,Google Play
BOA,1,The worst app,2024-06-10,Google Play
Dashen,4,wow amole,2024-06-03,Google Play
CBE,5,"It is best, recommend you guys to use.",2024-06-27,Google Play
CBE,5,easy and excellent app,2024-03-17,Google Play
CBE,5,Very good service,2022-02-12,Google Play
CBE,5,እጅግ በጣም አሪፍ አፕ ነው ተመችቶኛል ተጠቀሙበት,2021-04-22,Google Play
CBE,5,Very nice at all,2021-05-24,Google Play
CBE,5,Best of all mobile bank,2024-02-14,Google Play
BOA,4,Fails occasionally.,2024-05-17,Google Play
CBE,5,Beautiful,2021-02-19,Google Play
CBE,5,Cbe app,2023-11-01,Google Play
CBE,5,Very easy to use,2021-10-29,Google Play
CBE,3,good,2025-05-06,Google Play
CBE,5,Good application,2024-01-07,Google Play
CBE,1,in this update why screenshoot is disabled now it's not working,2025-03-28,Google Play
CBE,5,Thank you,2022-02-13,Google Play
CBE,5,verfcasencod,2025-09-30,Google Play
CBE,5,The best app,2024-03-20,Google Play
CBE,2,Good,2023-10-16,Google Play
CBE,1,It ask verification key when i try to open . It leads me which is useless app. I suggest to fix it up...,2020-11-14,Google Play
CBE,5,Links,2024-08-10,Google Play
CBE,5,የተላከ ገንዘብ መቼ ነዉ ሚለቀቀዉ,2023-02-01,Google Play
CBE,5,Good,2022-02-12,Google Play
CBE,4,ጥሩ,2020-09-03,Google Play
CBE,2,1. Statement is limited with one screen display. There should be access to see my transactions of at least 6 months before. 2. Sometimes debit/credit is not shown on the account details.......,2024-11-09,Google Play
CBE,5,Nice,2022-08-25,Google Play
CBE,5,The best of mobile banking in Ethiopia 🇪🇹,2025-07-06,Google Play
CBE,1,Bad,2024-01-05,Google Play
CBE,1,Passport payment,2024-06-25,Google Play
CBE,3,"I appreciate the effort you put in this application, but for commercial bank employees, you should include staff who speak the language spoken by the customers, depending on the location of the bank, in particular, the Somali region thank you. ለንግድ ባንክ ሰራተኞች ግን ደንበኞቹ የሚናገሩትን ቋንቋ የሚናገሩ ሰራተኞችን ማካተት አለቦት እንደ ባንኩ አካባቢ በተለይም የሶማሌ ክልል እናመሰግናለን።",2022-04-05,Google Play
CBE,4,👍,2024-08-06,Google Play
CBE,4,It's good,2025-01-03,Google Play
CBE,5,This App CBE bank it's Simple and Smart I Like it.,2025-10-03,Google Play
CBE,5,Good,2025-03-01,Google Play
CBE,5,will good updating,2025-10-09,Google Play
CBE,1,What an absolutely terrible update. No screenshots and you still have this stupid restriction on developer options. WHAT ABOUT THOSE OF US WHO ARE ACTUALLY DEVELOPERS!!!!!! At this point telebirr just wins the game 100%. CBE. Do. Better!,2025-03-21,Google Play
CBE,1,Useless hackable bank!,2024-03-26,Google Play
CBE,4,Good,2024-02-29,Google Play
CBE,5,USSD *889# ሆደን አቁስሎት ነበር ይህን አፕ ካስከፈትኩ ወድህ 889 ሞክሬው አላውቅም። ይሄ በጣም አሪፍ ነው።,2023-12-23,Google Play
CBE,5,👏👏👏,2024-02-05,Google Play
CBE,4,Wow amazing app,2025-01-26,Google Play
CBE,3,Stopped showing received or deposits recently.,2022-05-05,Google Play
CBE,5,በጣም ምቹና ቀልጣፋ አፓ ነው,2024-08-23,Google Play
CBE,2,"I Wana to update this app ,because when I try to open it ,it's close up immediately",2023-12-18,Google Play
CBE,4,The connection between bank and the app is lag relationship this must be corrected.,2025-08-25,Google Play
CBE,4,Ok,2025-02-08,Google Play
CBE,5,Good apps,2025-10-09,Google Play
BOA,1,The most terrible mobel banking app in the world it is not working ones in a week,2024-04-13,Google Play
BOA,1,Poor mobile banking alwayes not working alwayes,2024-05-18,Google Play
CBE,5,Good,2025-01-02,Google Play
CBE,4,Good,2021-06-04,Google Play
CBE,5,Interesting,2022-02-19,Google Play
CBE,5,It's just good and secured application,2022-02-12,Google Play
CBE,4,this is best but add traffic fine app.,2021-07-17,Google Play
CBE,1,Government Bank,2024-08-21,Google Play
CBE,5,Good,2025-01-24,Google Play
CBE,5,Fantastic,2021-05-11,Google Play
CBE,2,"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2025-10-04,Google Play
CBE,5,amazing,2024-02-11,Google Play
BOA,4,Goood,2024-08-06,Google Play
CBE,5,No mobile app like this. Really an amazing,2022-05-26,Google Play
CBE,5,best app,2025-07-21,Google Play
CBE,3,it's good but add some more please,2025-08-08,Google Play
CBE,1,Less functional,2024-11-22,Google Play
CBE,5,"Wow, its easy to use",2022-02-13,Google Play
CBE,5,"Amazing, Delightful and Seamless Mobile Banking Application, I have ever Experienced!! Indeed, I feel Great Proud to be part of your Stakeholder! My First Choice Bank, Commercial Bank of Ethiopia, The Pioneer and Leading in Digital Banking Services in Ethiopia! Five stars ⭐⭐⭐⭐⭐ are little to you! Thank you so much🙏",2025-09-06,Google Play
BOA,1,Why do u force me to Turn OFF developers option just to use your app its not fair and am not using ur app anymore,2024-05-10,Google Play
CBE,5,Haalan garii,2023-09-24,Google Play
CBE,3,10 years,2022-02-12,Google Play
CBE,5,V.good,2022-01-21,Google Play
CBE,5,It is a very important application.,2025-02-07,Google Play
CBE,5,It is a very good facility,2024-03-16,Google Play
CBE,4,Flexible & easy service,2025-01-05,Google Play
CBE,5,its good but add more features such like. bank statement showing,2025-04-24,Google Play
BOA,3,Good service.,2025-05-25,Google Play
CBE,1,wow,2025-05-05,Google Play
CBE,5,Good service at Baburehama branch,2024-08-27,Google Play
BOA,5,Good 👍,2025-01-03,Google Play
Dashen,2,"It is simple to use, one annoying thing is, it demands you to change passward frequently and then, when we get confused which passward we used last time, it locks you out, if you put wrong passward and then tells to go to your bank, which may be miles away. Please make the frequency of passward change less frequent.",2023-06-06,Google Play
BOA,4,This app is very simpl for useing,2024-05-10,Google Play
CBE,1,"It's mostly unable to connect to the Internet, very frustrating",2021-06-18,Google Play
CBE,5,I am first-time to use this app.,2023-12-23,Google Play
BOA,1,"I can't believe in this day and age, one of the major banks of the country can't seem to understand that having a working mobile payment option is a **MUST** to survive. I have decided to move my accounts to CBE and Awash because of this. Can't be bothered with this useless app.",2024-07-04,Google Play
CBE,1,Pharmacy professional,2024-01-15,Google Play
CBE,5,It is very good to send recieve m9ney transfer,2023-10-16,Google Play
CBE,4,I like it very much..is secured and easy to use..we can easily make a transaction with accounts of the same bank..,2021-09-28,Google Play
CBE,5,Fabulous,2020-08-10,Google Play
CBE,1,Effective services app,2023-08-21,Google Play
CBE,5,Good app thanks,2023-04-14,Google Play
CBE,4,It is good,2024-10-15,Google Play
CBE,4,it is good but it doesn't allow screen shot,2025-04-06,Google Play
BOA,5,amazing,2025-05-18,Google Play
CBE,5,number one,2023-09-05,Google Play
CBE,5,It is nice to save time,2024-03-02,Google Play
CBE,5,Could you please add a finger print option,2024-02-13,Google Play
CBE,1,Genet zewde77@yahoo .come,2021-08-11,Google Play
CBE,5,Good,2023-11-30,Google Play
CBE,4,V good,2023-02-23,Google Play
CBE,5,Commercial bank and it's mobile banking is very good,2025-02-27,Google Play
CBE,5,Good,2021-10-17,Google Play
Dashen,5,"Its very easy and usefull app,keep it up your good service.",2023-02-02,Google Play
CBE,5,Great App,2021-06-18,Google Play
CBE,5,It is nice,2016-01-26,Google Play
CBE,5,"amzing app, so 10Q",2025-07-11,Google Play
CBE,5,I am comfortable,2024-05-11,Google Play
CBE,5,nice,2022-02-09,Google Play
BOA,1,Keeps crashing everytime what a disaster,2024-05-01,Google Play
CBE,4,very important app,2025-09-21,Google Play
CBE,5,It's Nice app ever!!!,2024-07-19,Google Play
CBE,5,Good,2025-01-06,Google Play
CBE,5,cBENooR,2025-01-19,Google Play
CBE,5,Love this app,2023-12-16,Google Play
CBE,5,Amazing system,2024-03-16,Google Play
BOA,5,Good,2024-02-03,Google Play
BOA,1,considering the fact the bank is huge this app really bad you could do better,2025-03-25,Google Play
CBE,5,👌 nice,2023-09-06,Google Play
CBE,5,"Truly, super competitive when compared to a well known app nowadays functioning broadly by simplest features and means namely known as Telebirr super app, Thus, CBE is my top ultimate choice that I prefer over the other bank due to its beautiful power of lead as a result I could recommend CBE to others because of its service provision via ethical principles and practice for customers satisfaction with existence of constraints and challenges face from burglary and froudalent hacker. Thank you !",2025-08-27,Google Play
CBE,5,Thank you batam innamasagginalen,2023-08-29,Google Play
CBE,1,"it shows only very recent transactions I have made only, which is very disappointing!",2023-10-10,Google Play
CBE,3,i assume for user this apps are well.,2023-11-14,Google Play
CBE,5,Wow👍,2024-05-05,Google Play
CBE,5,Best ever banking app,2024-03-06,Google Play
BOA,5,👏👏👏,2024-01-16,Google Play
CBE,5,zinaa Ahmed,2025-09-04,Google Play
CBE,5,Really great app!!!,2022-07-11,Google Play
BOA,1,"It crashes frequently. It launches on Android 8.1 but I don't think it actually works on versions less than 10. If so, it shouldn't be available for download by such devices to begin with, like many other finance apps are not. It was so much better three months ago, upgrades should be for the better.",2024-09-06,Google Play
CBE,5,it's great app when ever!,2023-12-10,Google Play
CBE,5,Use full,2024-06-12,Google Play
CBE,4,"It helps a lot,thanks",2020-09-07,Google Play
BOA,5,It is better than before and i like it,2024-02-22,Google Play
CBE,5,Nice,2020-08-11,Google Play
CBE,5,its Best app But i hate the Repeatedly update request,2025-10-02,Google Play
CBE,5,the app is proactive and a good connections.,2025-06-05,Google Play
CBE,5,😜😘😍,2024-01-13,Google Play
CBE,5,"Wherever you are, CBE is there for you! Excellent job, keep it up!",2023-10-01,Google Play
CBE,5,It is perfect!,2024-02-13,Google Play
Dashen,5,Very nice,2024-03-22,Google Play
CBE,2,update ከሆነ ቡሀላ ባግባቡ አይሰራም በተቻለ መጠን በፍጥነት አስተካክሉት የመጀመሪያው የተሻለ ነበር,2019-03-05,Google Play
CBE,5,"The new update is fantastic. The CBE app never looked better, faster and interactive. Good Job.",2020-08-16,Google Play
CBE,5,always we relay on,2025-04-01,Google Play
CBE,1,sahib amin jamal,2025-08-31,Google Play
Dashen,1,Too technical.,2024-02-01,Google Play
CBE,5,Nice,2023-09-09,Google Play
CBE,5,"There is a difference in the options for instance i haven't banking, like standing order how can i develop?",2023-10-17,Google Play
BOA,1,This app is not available on all android versions and some times it is not functional.,2024-11-08,Google Play
BOA,3,I can't use it anymore,2024-02-16,Google Play
CBE,5,So amazing ap !!!!,2022-11-02,Google Play
CBE,5,Nice service CBE Bank,2023-11-29,Google Play
BOA,1,"The worst app. Can't even login to my device. Phone : Pexel7a, version : android 13.",2024-01-16,Google Play
CBE,5,Banking with CBE anywhere anytime.,2024-02-23,Google Play
CBE,5,Galataa,2024-05-12,Google Play
CBE,5,It good.but there gambler's in using mobile banking I lose 5000birr.,2024-07-14,Google Play
BOA,5,አሪፍ ነው በርቱልን,2024-10-03,Google Play
CBE,5,Very important!,2024-06-17,Google Play
BOA,5,nice,2025-04-09,Google Play
CBE,5,Best,2024-03-27,Google Play
BOA,1,"The app is a total waste of time, it glitches, doesn't log in fast, super slow.",2024-04-21,Google Play
CBE,5,Easy to use,2022-02-12,Google Play
CBE,4,let us know before you shut down the app,2025-08-27,Google Play
CBE,2,It works only on WiFi,2021-06-27,Google Play
CBE,5,It's progress very well Thanks,2024-02-21,Google Play
CBE,5,Allowed,2023-11-15,Google Play
CBE,3,"If you make 2 transfers with the same amount, it will ask to verify, but no option to do so.",2024-04-01,Google Play
CBE,3,Wow,2025-02-19,Google Play
CBE,5,Commercial Ba...,2024-02-24,Google Play
CBE,4,Hell cool,2022-10-04,Google Play
CBE,5,Good app,2024-12-01,Google Play
BOA,1,አይሰራም እኮ ምንድን ነው ችግሩ?,2024-07-26,Google Play
CBE,4,Soooooo wonderful application,2020-06-27,Google Play
CBE,5,Thankz,2025-03-02,Google Play
CBE,5,what a great app is,2024-02-24,Google Play
CBE,5,very aazing,2025-07-18,Google Play
BOA,5,Best,2024-04-24,Google Play
CBE,5,One of a kind,2024-02-29,Google Play
CBE,5,use ful,2025-04-21,Google Play
CBE,5,Nice,2025-02-02,Google Play
CBE,5,Cbe mobile banking,2025-05-20,Google Play
CBE,4,Amazing,2025-02-26,Google Play
BOA,1,this is worest app 24/7 loading,2025-06-01,Google Play
BOA,5,no proplem,2025-07-20,Google Play
CBE,1,It crashes acfter this update...so what is the meaning of releasing V2...previously it was working....oppss...bad app.,2019-03-06,Google Play
CBE,1,"This app as much as good it was, it fails you in the middle of critical time . With the good reputation this bank has this app should've been something us customers should reply on. But I am very disappointed.",2023-11-26,Google Play
CBE,5,good,2025-08-09,Google Play
CBE,5,Good,2022-02-25,Google Play
CBE,1,"why this app is trash,cannot open using my pin,please do something with this issue",2019-03-24,Google Play
BOA,1,It's nice apps,2024-06-04,Google Play
CBE,5,It is the best application that makes life easier and provides fast service,2024-11-30,Google Play
CBE,4,ገንዘብ ከአካውንት ወደ አካውንት የሚያስተላልፉ ሰዎቸን ስም ወይም ስልካቸውን ብናገኝ እንደ ቤተክርስቲያን ደረሰኝ ለመስጠትና ለማመስገን ይረዳናል ።,2022-05-05,Google Play
CBE,5,Hi,2016-01-25,Google Play
CBE,4,It is easy to use and simplify everything,2024-01-20,Google Play
CBE,5,Excellent easy to interact swift time saving. I really enjoy using this app didn't really expect it to be so W⁰ºo0W,2024-04-05,Google Play
CBE,5,a good apps to save my money &withdraw my money to service,2025-02-13,Google Play
CBE,5,The app asks me to write verifcation number where can i get it?,2021-01-09,Google Play
CBE,5,Nice app.,2024-01-22,Google Play
CBE,5,Good,2023-11-17,Google Play
CBE,4,"It is a very good app; but as a comment, the signs in the app should have their own unique color. For example, the Top up sign should have the color of ethiotelecom.",2020-06-27,Google Play
CBE,5,It's easy and good,2025-02-13,Google Play
CBE,2,"couldn't view receipt & can not get help, no telephone contacts. etches",2024-06-25,Google Play
CBE,5,Good app and smooth services.,2024-03-05,Google Play
CBE,1,good app,2025-01-28,Google Play
Dashen,5,Nice app in Ethiopia,2024-08-01,Google Play
CBE,4,"I love it so much for its nice user interface and massive improvement. One much important thing it lacks is that, it synchronizes #ONLY-ONE account per app. For this reason, people (customers) who had >/= 2 accounts for different reasons, are obliged to visit the local CBE branch, which is unadvisable especially during COVID-19 era. I hope you will do your best on it.",2020-08-02,Google Play
CBE,5,Our Commercial Bank of Ethiopia is Good !,2025-10-06,Google Play
CBE,5,Very good app,2024-03-10,Google Play
BOA,4,Okay,2025-07-13,Google Play
CBE,5,Woow!!it's very good app to done your job and it is help us any deposits‚withdrow and transfer details,2022-01-19,Google Play
CBE,5,It's very Simple and useful for customer and also easier from other options of this Bank but its hard sometimes when the net work is bussy and inquiry some add update from the Branch technical stuff when you want this application for critical case the application was inquiring you un wanted update,2024-12-29,Google Play
CBE,5,Very good,2020-11-16,Google Play
BOA,1,"Installed the latest version of this app on my Android 14 device, but it is not working. I have already received the activation key from your branch (via SMS), but couldn't activate it. It is a failed app. I bet you don't have QA testers.",2024-04-24,Google Play
CBE,5,👋👍,2023-06-05,Google Play
CBE,2,Update,2025-01-01,Google Play
CBE,5,But like all ethiopians app,2015-09-30,Google Play
Dashen,2,Why should change password it's not good if ur client forget password it can be exhausted for client,2023-06-08,Google Play
CBE,5,Good app! Really helped me a lot!,2023-12-05,Google Play
CBE,4,Would've given it 5 but sometimes it doesn't work properly. It's been 3 days since it stopped transferring money and buying airtime,2020-08-29,Google Play
CBE,5,goid,2025-04-28,Google Play
BOA,5,Well,2024-05-01,Google Play
CBE,1,The app keeps on crushing & I can't log in or access my account. Went to the bank for trouble shooting. The customer service was very poor and I told to reinstall the app and enter new activation key. I did and after starting to work for few hours again the prob is there and the app is still crushing and not working. Such poor service is unexpected from a big statd owned bank. You should fix the problem ASAP.,2019-03-06,Google Play
CBE,5,waw,2025-06-13,Google Play
BOA,2,"Worest app, it cannot be downloaded",2024-06-05,Google Play
CBE,5,The app is absolutely amazing with seamless functionalities. I never face any hurdles while using it. It deserves 5 stars!,2023-12-28,Google Play
CBE,5,Best,2020-09-02,Google Play
CBE,2,Deducting 2times the same order starting from march7and 8 it is difficult to use mobile banking,2022-03-11,Google Play
Dashen,5,Good,2023-04-18,Google Play
CBE,4,It is user friendly.,2025-07-11,Google Play
CBE,5,Good,2022-10-16,Google Play
CBE,5,እንዲሁ ነው የሰተኋችሁ ለሞራል,2025-08-15,Google Play
BOA,2,worst banking app i have ever used. Try to modify it,2024-03-19,Google Play
BOA,5,"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",2024-11-12,Google Play
CBE,4,"good job, but we need to see more transaction history.",2025-07-21,Google Play
CBE,5,CBE is the best bank in the country,2024-04-03,Google Play
CBE,5,a very nice app.👍👍👍,2025-04-01,Google Play
CBE,5,best servis app,2023-11-07,Google Play
CBE,5,Good,2021-12-14,Google Play
CBE,1,"Can got 0 ⭐ Please ! this App is completely Scam Becouse I made payment in other bank option in the App but the APP (-) mY BALANCE BUT NO successful notification to get screen shoot, no SMS and no Transaction history and I alerdy lost my mony becous my clint also does not get the mony i sent! I pay but I didn't got mony! stey away frim CBE",2024-05-19,Google Play
CBE,5,Its good app,2023-11-24,Google Play
CBE,5,Commercial,2022-10-03,Google Play
CBE,5,Bad,2023-03-30,Google Play
CBE,5,"this app is pretty good. The recent one was the nicest. however after the update, it restricts me from taking a screenshot. i would be happy if you remove screenshots restriction policy from this app. why I gave it five stars was because of the past performances of this app. keep in mind to remove the screenshot restriction policy from this app. and also it has no self authorizations. once uninstalled it needs extra sim cards and wants to visit nearby banks in person.",2025-08-20,Google Play
CBE,5,Ok,2023-09-23,Google Play
CBE,1,"Completely and utterly made it unusable after the update. Why would anyone, in their right minds, make something that worked before to a new “updated” rubbish!?",2019-03-05,Google Play
CBE,5,The Commercial Bank of Ethiopia application is easy to use. Really recommended.,2023-01-27,Google Play
CBE,1,for the frist use the app is perfect but soon it begins to change the speed the massages and cost an arm and leg,2025-06-29,Google Play
BOA,5,Oene,2024-11-12,Google Play
Dashen,5,ጥሩ ነው ግን chrom ላይ password save አድርጎ ያቆያል,2023-06-09,Google Play
CBE,1,Sadam Dafhj,2024-05-05,Google Play
CBE,5,Simple and well built,2024-08-10,Google Play
BOA,5,Good 👍,2024-06-07,Google Play
CBE,4,It crashes frequently,2025-04-30,Google Play
CBE,1,The new update has a gleach and is none responsive.,2023-09-05,Google Play
CBE,5,Nice app,2022-05-17,Google Play
Dashen,5,Good 👍,2024-02-04,Google Play
CBE,5,Application is very important for us thanks,2023-04-30,Google Play
BOA,5,Thank you,2024-02-03,Google Play
BOA,1,The worst App I have ever seen.,2024-04-25,Google Play
CBE,3,The app close automatically when trying to request ATM replacement,2023-12-27,Google Play
CBE,5,Best Apo,2024-05-13,Google Play
CBE,2,"Recent service fee change is ridiculous. Plus making transfer to other banks and Telebirr wallet is even crazier. You suppose to be an exemplary institution, but you are doing the opposite.",2024-05-14,Google Play
CBE,3,Good,2024-12-29,Google Play
CBE,5,perfekt,2024-12-15,Google Play
CBE,5,This service is qulity and very easy to use by any place any time also i could have save my time. Just i can say fantastic.,2024-09-16,Google Play
CBE,5,For me it was really comfortable 😌,2022-02-12,Google Play
CBE,1,Please try to work on this app. It is not user-friendly and high-end. And say this while comparing with others both within and out of the country. Please try to include more features and functionality,2023-04-12,Google Play
CBE,5,Very good app.,2024-02-17,Google Play
CBE,5,nice app 👌,2025-04-12,Google Play
CBE,3,"It is a very simple and convenient application, if exporting or downloading option included more preferable",2023-03-05,Google Play
CBE,3,It have some bugs get stuck time to time but very easy to use I like it,2023-04-20,Google Play
CBE,5,Good application,2025-01-31,Google Play
CBE,4,Good app,2023-03-11,Google Play
CBE,5,Rijalufaris,2025-10-02,Google Play
CBE,4,I like this app doing great 🤙,2023-04-05,Google Play
CBE,5,Good,2024-03-09,Google Play
CBE,1,Developer mode?????,2025-01-12,Google Play
BOA,1,this app is not available,2025-01-02,Google Play
CBE,2,"this app has bugs all over it!! you cant see your balance,transfer money inaddition shows error msg ""none available"". fix this!!",2023-05-31,Google Play
CBE,5,very good app,2025-03-20,Google Play
CBE,5,Wow,2024-08-18,Google Play
Dashen,5,The best app,2024-03-16,Google Play
CBE,5,Best app in Ethiopia banking,2022-10-16,Google Play
BOA,1,Worst app ever. Barely works,2024-05-02,Google Play
CBE,5,Very Good y,2022-11-17,Google Play
CBE,5,Perfakte,2022-07-02,Google Play
BOA,5,It's the best,2024-04-24,Google Play
BOA,3,good but they don't update enough don't add new things,2025-04-04,Google Play
CBE,4,Authorization code i don't know how to get it anyone out there please help,2014-02-22,Google Play
BOA,1,its very bad app its very slow,2025-06-17,Google Play
CBE,5,It is very great and helpful app. Easy and helps to save time alot,2021-07-09,Google Play
Dashen,2,Please apply!cardless cash out system🙏,2024-03-17,Google Play
CBE,5,Mama,2024-05-03,Google Play
CBE,3,"trasaction history needs to be more detailed,",2025-06-28,Google Play
CBE,4,Its good service,2025-02-07,Google Play
BOA,1,App is so bad network,2024-05-16,Google Play
Dashen,5,Be adjusted this app is not available anytime,2024-06-11,Google Play
CBE,5,Exellent,2025-01-01,Google Play
CBE,1,Poor,2022-09-09,Google Play
CBE,1,to other bank is bad,2025-04-25,Google Play
BOA,2,That's a fantastic app! L,2024-04-29,Google Play
CBE,5,Nice,2023-11-02,Google Play
BOA,2,It crash repeatedly! Try to make it more stable for customers need meet!,2024-05-07,Google Play
CBE,5,It is magnificent App,2022-12-26,Google Play
CBE,1,"The limited transaction listing, only to recent list, makes your app of limited help.",2023-02-17,Google Play
CBE,1,The new application is good interms of interface but the old one works better faster this one lags you have to work on it,2020-07-31,Google Play
